package,location,skip
zsh,pacman
oh-my-zsh,custom
st,custom
pip36,custom
git,pacman
yay,pacman
gvim,pacman
rofi,pacman
rxvt-unicode,pacman
i3-gaps,pacman
polybar,aur
ttf-font-awesome-4,aur
ranger,pacman
compton,pacman
python3,pacman
python36,aur
feh,pacman
tmux,pacman
byobu,pacman
firefox,pacman
xrandr,pacman
arandr,pacman
blueman,pacman
dos2unix,pacman
irssi,pacman
xclip,pacman
xdotool,pacman
zathura,pacman
xorg-xinit,pacman
sshfs,pacman
i3lock,pacman
gpick,pacman
dmenu,pacman
discord,aur
code,snap
lib32-libwacom,aur,true
wacom-utility,aur,true
minecraft-launcher,aur,true
input-wacom-dkms,aur,true
discord-canary,aur,true
