package,location,skip
yay,pacman,false
git,pacman,false
curl,pacman,false
zsh,pacman,false
https://github.com/zsh-users/zsh-autosuggestions.git,zsh-plugin,false
#zsh-history-substring-search,zsh-plugin,false
#zsh-syntax-highlighting,zsh-plugin,false
#oh-my-zsh,custom,false
#rufus-zsh-theme,custom,false
https://github.com/runarsf/rufus-zsh-theme,zsh-theme,false
lf,aur,false
st,custom,false
pip36,custom,false
vim,pacman,false
vundle,custom,false
rofi,pacman,false
rxvt-unicode,pacman,false
i3-gaps,pacman,false
polybar,aur,false
ttf-font-awesome-4,aur,false
ranger,pacman,false
compton,pacman,false
python3,pacman,false
python36,aur,false
feh,pacman,false
tmux,pacman,false
byobu,pacman,false
firefox,pacman,false
xrandr,pacman,false
arandr,pacman,false
blueman,pacman,false
dos2unix,pacman,false
irssi,pacman,false
xclip,pacman,false
xdotool,pacman,false
zathura,pacman,false
xorg-xinit,pacman,false
sshfs,pacman,false
i3lock,pacman,false
gpick,pacman,false
dmenu,pacman,false
discord,aur,false
code,snap,false
fonts,custom,false
gvim,pacman,true
lib32-libwacom,aur,true
wacom-utility,aur,true
minecraft-launcher,aur,true
input-wacom-dkms,aur,true
discord-canary,aur,true
